460
#term	doc freq	idx
O7	1	0
OO2921	1	1
TCL	2	2
gf	1	3
ke1yic	1	4
o7	1	5
oooo16	1	6
xy	1	7
一样	1	8
一般	1	9
七天	1	10
万信	2	11
万科	1	12
万马	1	13
上升空间	1	14
上去	7	15
上架	1	16
上涨空间	1	17
上班	2	18
下	4	19
下周	3	20
下步	1	21
下跌	1	22
不	23	23
不了	27	24
不够	2	25
不对	1	26
不是	1	27
不止	1	28
不能	15	29
不能交易	2	30
不足	5	31
专	2	32
专债	1	33
专家	1	34
东债	1	35
东方	1	36
东证	1	37
东财	4	38
丨	1	39
中兴通讯	3	40
中小板	1	41
中石化	1	42
为	2	43
为什么	40	44
为何	7	45
为啥	2	46
么	2	47
乐视	1	48
也	1	49
书	1	50
买	9	51
买不到	2	52
买入	33	53
买到	1	54
买卖	6	55
买肉	1	56
买进	3	57
互签	1	58
交易	6	59
交易佣金	2	60
交钱	1	61
享	2	62
亲	1	63
人	1	64
人名	29	65
什么	77	66
今	1	67
今日	1	68
从	1	69
仓业板	1	70
代码	12	71
以上	1	72
以经	1	73
会	4	74
但	1	75
但是	1	76
低迷	1	77
何时	3	78
余额	1	79
佛然	1	80
你们	2	81
佣金	11	82
信用	2	83
债券	2	84
值得	1	85
充足	1	86
光弦	1	87
入	3	88
全仓	1	89
公	1	90
公司	200	91
兴全	2	92
再	1	93
几时	5	94
出	2	95
出去	3	96
出掉	1	97
出来	5	98
出金	1	99
划帐	1	100
刚	2	101
刚好	1	102
创业板	10	103
创新高	1	104
到	6	105
到底	1	106
到期日	2	107
到账	3	108
办法	1	109
加上	1	110
加仓	1	111
加入	1	112
千金	1	113
华贸	1	114
协议	3	115
单	1	116
单会	1	117
卖	4	118
卖出	9	119
卡	12	120
卡理	1	121
原因	1	122
去	1	123
又	2	124
双环	1	125
发债	15	126
取不	1	127
取不出	1	128
取出	1	129
受限	8	130
受限制	5	131
变成	1	132
可	5	133
可以	53	134
可以上市	1	135
可否	3	136
可是	1	137
可用	4	138
可续	1	139
合同	1	140
合宜	2	141
合盛	1	142
后	3	143
后事	1	144
后势	5	145
后面	3	146
周末	5	147
咋	2	148
咋样	1	149
和	4	150
哪个	2	151
哪天	1	152
哪里	2	153
啥	1	154
啥意思	1	155
啥时候	3	156
嘛	3	157
回	2	158
回事儿	1	159
回复	1	160
因为	1	161
在	6	162
地名	67	163
基金	17	164
填	3	165
增持	1	166
处理	1	167
多长时间	1	168
夜市	4	169
大业	7	170
大概	1	171
大跌	1	172
大量	1	173
天康	1	174
天量	1	175
失败	1	176
失错	1	177
套	4	178
如何	139	179
如何计算	1	180
如可	1	181
如果	2	182
委托	12	183
存在	4	184
